code,families,row_count
Off White Golden,"{White/Cream,Gold/Metallic}",1
Off White Parrot Green,"{White/Cream,Green}",1
Off White Pink,"{White/Cream,Pink}",1
Off White Yellow,"{White/Cream,Yellow}",1
Olive,{Green},1
Olive Grey,"{Grey,Green}",1
Onion Pink,{Pink},1
Orange Beige,"{Orange,Brown/Beige}",1
Orange Fawn,"{Orange,Brown/Beige}",1
Orange Green,"{Orange,Green}",1
Orange Grey,"{Orange,Grey}",1
Orange Grey Brown,"{Grey,Orange,Brown/Beige}",1
Orange Off White,"{Orange,White/Cream}",1
Orange Parrot Green,"{Orange,Green}",1
Orange Purple,"{Orange,Purple}",1
Ornage Blue,{Blue},1
Pale Yellow,{Yellow},1
Pastel Bronze,{Gold/Metallic},1
Pastel Green,{Green},1
Pastel Peach,{Peach},1
Peach Golden,"{Peach,Gold/Metallic}",1
Peach Pink,"{Peach,Pink}",1
Pink Dot,{Pink},1
Pink Firozi,"{Pink,Blue}",1
Pink Green And Red,"{Pink,Red,Green}",1
Pink Lavender,"{Pink,Purple}",1
Pink Peach,"{Pink,Peach}",1
Pink Red,"{Pink,Red}",1
Pink White,"{Pink,White/Cream}",1
Pink Yellow,"{Pink,Yellow}",1
Pista Black,"{Green,Black}",1
Pista Blue,"{Green,Blue}",1
Pista Orange,"{Green,Orange}",1
Plum Maroon,{Maroon/Wine},1
Purple Mustard,"{Purple,Yellow}",1
Purple Pink,"{Purple,Pink}",1
Rama Blue,"{Green,Blue}",1
Rama Green (Morni,{Green},1
Rama Green Golden,"{Green,Gold/Metallic}",1
Rama Green Wine,"{Green,Maroon/Wine}",1
Red Cream,"{White/Cream,Red}",1
Red Firozi,"{Red,Blue}",1
Red Magenta,"{Red,Pink}",1
Red Mustard,"{Red,Yellow}",1
Red Orange Green,"{Red,Orange,Green}",1
Red Peach,"{Red,Peach}",1
Red Pink,"{Red,Pink}",1
Red-Yellow-Green,"{Red,Yellow,Green}",1
Royal Purple,{Purple},1
Rust Denim,{Orange},1
Sea Green Brown,"{Green,Brown/Beige}",1
Sea Green Magenta,"{Green,Pink}",1
Silver,{Gold/Metallic},1
Sky Blue Golden,"{Blue,Gold/Metallic}",1
Slate,{Grey},1
Slate Blue,{Blue},1
Steel Grey & Red,"{Grey,Red}",1
Teal Green,"{Green,Blue}",1
Tie-Dye,{Multi/Printed},1
Tusser Magenta,"{Pink,Brown/Beige}",1
Tusser Red,"{Red,Brown/Beige}",1
Violet,{Purple},1
White Maroon,"{White/Cream,Maroon/Wine}",1
White Mustard,"{White/Cream,Yellow}",1
White Print,"{White/Cream,Multi/Printed}",1
White Sky Blue,"{White/Cream,Blue}",1
White With Colour,"{Multi/Printed,White/Cream}",1
Wine Golden,"{Maroon/Wine,Gold/Metallic}",1
Yellow Blue,"{Yellow,Blue}",1
Yellow Firozi,"{Yellow,Blue}",1
Yellow Gazari,"{Yellow,Pink}",1
Yellow Green & Green Yellow,"{Multi/Printed,Yellow,Green}",1
Yellow Maroon,"{Yellow,Maroon/Wine}",1
Yellow Mustard,{Yellow},1
Yellow Peach,"{Yellow,Peach}",1
Yellow-Blue,"{Yellow,Blue}",1
Yellow-Red,"{Yellow,Red}",1
Yellow-Red-Green,"{Yellow,Red,Green}",1
